current,R,G,B
0.095633,0.176,0.471,0.843
0.102154,0.176,0.667,1.000
0.099243,0.176,0.667,0.843
0.101502,0.333,0.471,1.000
0.095796,0.176,0.471,0.843
0.101712,0.333,0.471,1.000
0.098707,0.176,0.471,1.000
0.099243,0.176,0.667,0.843
0.099359,0.176,0.667,0.843
0.102201,0.176,0.667,1.000
0.105089,0.333,0.667,1.000
0.101432,0.333,0.471,1.000
0.102154,0.176,0.667,1.000
0.099383,0.176,0.667,0.843
0.098987,0.333,0.471,0.843
0.095889,0.176,0.471,0.843
0.098800,0.333,0.471,0.843
0.105136,0.333,0.667,1.000
0.102247,0.176,0.667,1.000
0.096122,0.176,0.471,0.843
0.101525,0.333,0.471,1.000
0.098707,0.333,0.471,0.843
0.102294,0.176,0.667,1.000
0.098661,0.333,0.471,0.843
0.105205,0.333,0.667,1.000
0.102271,0.333,0.667,0.843
0.095959,0.176,0.471,0.843
0.098614,0.176,0.471,1.000
0.102341,0.176,0.667,1.000
